day,hour,minute,second,microsecond,baro pressure hpa,acc x,acc y,acc z,gryo x,gryo y,gryo z,humidity,temperature,Ox pressure(psi),Voltage,altitude(meters)
14,13,13,15,81798775,875.7295,9.701305,0.885855,-0.00958,-0.01146,0.022116,0.009593,16.11963,45.59358,4.101562,0.510254,1213.353
14,13,13,16,81799115,875.6827,9.701305,0.80924,-0.09098,-0.01945,0.023182,0.014389,16.11963,45.59358,4.711914,0.51178,1213.792
14,13,13,16,81799455,875.7379,9.701305,0.80924,-0.09098,-0.00933,0.028778,0.013856,16.10132,45.59358,4.467773,0.511169,1213.274
14,13,13,16,81799798,875.7667,9.715671,0.775721,-0.07183,-0.01652,0.02638,0.00373,16.09216,45.57221,3.735352,0.509338,1213.004
14,13,13,17,81800138,875.7555,9.715671,0.775721,-0.07183,-0.01652,0.023449,0.007461,16.08454,45.59358,2.514648,0.506287,1213.11
14,13,13,17,81800478,875.7706,9.715671,0.775721,-0.07183,-0.01226,0.025847,0.005596,16.07691,45.59358,4.223633,0.510559,1212.967
14,13,13,18,81800821,875.7043,9.715671,0.833182,-0.05746,-0.01652,0.025314,0.004796,16.06622,45.57221,4.345703,0.510864,1213.588
14,13,13,18,81801161,875.735,9.715671,0.833182,-0.05746,-0.01705,0.018119,0.006129,16.0586,45.57221,3.735352,0.509338,1213.3
14,13,13,18,81801544,875.7083,9.715671,0.833182,-0.05746,-0.02558,0.027712,0.013323,16.05097,45.59358,4.467773,0.511169,1213.551
14,13,13,19,81801884,875.6649,9.653421,0.847547,-0.08619,-0.02292,0.02185,0.006662,16.04181,45.57221,3.613281,0.509033,1213.958
14,13,13,19,81802234,875.6651,9.653421,0.847547,-0.08619,-0.01332,0.021317,0.007994,16.03265,45.57221,3.857422,0.509644,1213.956
14,13,13,19,81802574,875.6818,9.639056,0.833182,-0.04788,-0.02025,0.026913,0.012524,16.0174,45.59358,4.711914,0.51178,1213.8
14,13,13,20,81802914,875.6145,9.639056,0.833182,-0.04788,-0.01972,0.018919,0.015188,16.00061,45.59358,2.514648,0.506287,1214.429
14,13,13,20,81803257,875.6302,9.639056,0.833182,-0.04788,-0.01226,0.015988,0.020251,16.00061,45.59358,3.491211,0.508728,1214.283
14,13,13,20,81803597,875.6882,9.691729,0.828394,-0.01437,-0.01466,0.031176,0.017587,16.00824,45.59358,3.735352,0.509338,1213.739
14,13,13,21,81803937,875.6146,9.691729,0.828394,-0.01437,-0.01759,0.027446,0.00373,16.00671,45.57221,4.345703,0.510864,1214.429
14,13,13,21,81804280,875.6665,9.691729,0.828394,-0.01437,-0.02638,0.023982,0.009326,16.01587,45.57221,3.735352,0.509338,1213.942
14,13,13,21,81804620,875.6869,9.648633,0.790087,-0.02394,-0.01572,0.026113,0.012524,16.02503,45.59358,4.589844,0.511475,1213.752
14,13,13,22,81804960,875.6457,9.648633,0.790087,-0.02394,-0.00773,0.018386,0.013057,16.04181,45.57221,3.491211,0.508728,1214.138
14,13,13,22,81805303,875.6356,9.710882,0.828394,-0.02873,-0.00346,0.026913,0.010658,16.04944,45.57221,4.467773,0.511169,1214.233
14,13,13,22,81805688,875.7192,9.710882,0.828394,-0.02873,0.002132,0.031975,0.011458,16.06622,45.57221,3.125,0.507812,1213.451
14,13,13,23,81806028,875.7115,9.710882,0.828394,-0.02873,-0.01625,0.018652,0.012524,16.07691,45.59358,4.223633,0.510559,1213.52
14,13,13,23,81806368,875.6835,9.730036,0.761356,-0.05746,-0.01066,0.018119,0.002665,16.09216,45.57221,3.00293,0.507507,1213.784
14,13,13,23,81806718,875.6608,9.730036,0.761356,-0.05746,-0.01066,0.025047,0.010925,16.11048,45.59358,3.125,0.507812,1213.995
14,13,13,24,81807058,875.6954,9.667787,0.837971,-0.09577,-0.01332,0.01732,0.010658,16.11048,45.59358,4.589844,0.511475,1213.67
14,13,13,24,81807398,875.722,9.667787,0.837971,-0.09577,-0.00986,0.015721,0.009593,16.11811,45.57221,4.101562,0.510254,1213.422
14,13,13,24,81807741,875.6236,9.667787,0.837971,-0.09577,-0.00506,0.023182,0.006129,16.12726,45.59358,4.467773,0.511169,1214.344
14,13,13,25,81808081,875.7125,9.696517,0.790087,-0.03831,-0.01279,0.031975,0.014389,16.11963,45.59358,3.857422,0.509644,1213.512
14,13,13,25,81808421,875.722,9.696517,0.790087,-0.03831,-0.02238,0.034374,0.009326,16.12879,45.61494,3.491211,0.508728,1213.422
14,13,13,25,81808764,875.6466,9.696517,0.790087,-0.03831,-0.02425,0.020518,0.009859,16.10895,45.57221,3.491211,0.508728,1214.127
14,13,13,26,81809104,875.7679,9.710882,0.852336,0,-0.01252,0.022649,0.017587,16.11048,45.59358,5.078125,0.512695,1212.991
14,13,13,26,81809444,875.7533,9.710882,0.852336,0,-0.01546,0.029044,0.010126,16.11048,45.59358,3.613281,0.509033,1213.131
14,13,13,26,81809784,875.7881,9.648633,0.852336,-0.06704,-0.01785,0.024781,0.00373,16.09216,45.57221,3.979492,0.509949,1212.804
